countFollowers|countFriends
0|14
1|8
2|7
3|3
4|6
5|1
6|8
7|4
8|9
9|7
10|2
11|2
12|2
13|2
14|3
15|4
16|2
18|4
19|3
20|2
21|3
22|2
23|2
24|4
25|3
26|2
27|4
28|1
29|2
30|3
31|5
32|2
33|3
34|7
35|3
37|4
38|3
39|1
40|1
41|1
42|2
44|8
45|2
46|3
47|2
48|1
49|2
50|4
51|2
52|2
53|3
54|1
55|4
57|1
58|2
59|7
61|3
62|2
63|1
64|3
65|1
66|3
67|2
68|3
69|2
70|3
71|3
73|2
74|2
75|1
76|3
77|1
79|4
80|2
81|4
82|3
83|4
84|1
85|2
86|3
88|2
89|2
91|2
92|1
93|2
94|1
97|1
99|1
100|2
101|2
102|3
103|2
104|1
105|1
106|2
107|1
108|4
109|5
110|2
111|5
112|3
113|1
114|8
115|2
116|2
117|5
118|4
119|1
120|1
121|2
122|1
123|3
124|5
125|1
127|2
129|1
130|3
131|2
132|3
135|1
137|4
138|3
140|2
141|1
142|1
143|2
144|3
145|5
146|1
147|1
148|2
149|2
150|1
151|4
152|3
153|1
154|2
155|2
156|1
157|3
158|2
159|2
160|1
161|1
162|1
163|3
164|4
165|2
166|2
167|1
168|2
169|1
170|1
171|1
172|2
173|1
174|2
175|1
176|1
178|3
179|1
180|1
183|2
184|1
186|1
188|1
189|2
190|2
191|1
192|1
193|1
194|2
195|2
196|3
198|3
200|1
201|2
203|1
204|3
205|1
206|1
207|5
209|5
210|1
211|1
213|1
216|2
217|3
219|1
221|5
225|4
226|1
227|3
228|4
231|3
232|1
233|4
234|2
235|4
236|1
237|2
238|3
239|2
240|3
242|1
243|3
244|1
248|1
249|1
251|1
252|1
253|3
255|2
256|1
257|1
259|1
260|1
261|1
262|1
263|1
264|1
265|3
266|1
267|3
268|1
269|1
272|1
275|1
278|1
279|1
280|2
281|3
283|3
284|2
286|1
287|4
288|1
290|2
291|1
292|1
293|3
294|1
295|3
296|2
297|1
299|1
300|2
301|2
303|2
305|1
306|1
307|2
308|2
311|3
313|2
315|1
316|1
320|1
323|2
325|2
326|1
328|1
330|1
332|2
333|1
335|1
336|1
337|1
338|2
339|3
340|2
342|1
343|3
344|2
345|1
346|1
348|1
349|1
350|1
351|1
355|1
356|1
358|1
361|2
362|1
365|1
366|1
367|1
370|2
372|1
375|4
376|1
377|1
380|1
383|1
384|2
385|1
387|1
389|1
390|2
391|1
394|2
396|2
398|2
400|1
402|2
403|2
405|3
407|1
410|1
411|2
412|1
413|2
416|1
417|1
419|1
421|1
422|1
423|2
426|2
427|1
428|1
430|1
432|1
436|1
438|1
441|1
442|1
449|1
453|1
454|1
455|1
458|1
459|1
463|1
464|1
473|3
474|3
476|1
480|1
485|1
486|1
488|1
490|1
491|1
492|1
495|1
496|2
498|1
500|1
502|1
507|2
510|2
513|1
517|1
519|1
525|1
531|1
532|2
533|1
537|1
538|1
539|2
548|1
549|1
550|2
551|2
553|1
557|1
558|1
559|1
562|1
573|1
574|1
577|1
578|1
579|1
582|1
583|2
586|1
590|2
592|1
593|2
594|1
595|1
596|1
599|2
600|1
602|2
605|1
607|1
612|2
613|1
618|1
622|1
624|1
629|1
634|1
635|1
637|1
643|1
645|1
650|1
654|1
655|1
656|1
663|1
665|2
668|1
669|1
670|1
673|1
674|1
675|1
679|1
682|1
694|1
698|1
709|1
713|1
717|1
719|1
721|1
722|1
725|1
729|1
730|1
733|1
738|1
750|1
755|1
756|1
757|1
770|1
773|1
775|1
777|1
779|1
783|1
790|1
792|1
803|1
804|2
806|3
807|1
811|1
814|1
815|1
816|1
821|2
822|1
835|1
836|1
851|2
855|1
865|1
866|1
872|1
874|1
892|1
907|1
910|1
917|1
937|1
944|1
945|1
946|1
951|1
968|1
985|1
986|2
989|2
1000|1
1003|1
1004|1
1013|1
1024|1
1036|1
1050|1
1061|1
1073|1
1089|1
1107|1
1109|1
1123|1
1134|1
1144|1
1182|1
1183|1
1185|1
1193|1
1222|1
1223|1
1229|1
1233|1
1240|1
1255|1
1272|1
1284|1
1315|1
1338|1
1342|1
1363|1
1384|1
1400|1
1418|1
1439|1
1449|1
1501|1
1532|1
1538|1
1539|1
1556|1
1557|1
1591|1
1610|1
1614|1
1618|1
1660|1
1706|1
1724|1
1731|1
1754|1
1768|1
1810|1
1846|1
1882|1
1899|1
2022|1
2030|1
2091|1
2098|1
2142|1
2148|1
2167|1
2195|1
2210|1
2283|1
2287|1
2459|1
2523|1
2526|1
2607|1
2618|1
2641|1
2654|1
2697|1
2729|1
2814|1
2908|1
2946|1
3065|1
3067|1
3178|1
3217|1
3301|1
3375|1
3403|1
3408|1
3580|1
3681|1
3778|1
3965|1
3976|1
4024|1
4147|1
4195|1
4641|1
4652|1
4869|1
5358|1
5377|1
5421|1
5485|1
5578|1
5981|1
6612|1
6633|1
6781|1
7080|1
7141|1
7356|1
7578|1
7704|1
8822|1
9345|1
10972|1
12277|1
12423|1
14352|1
14387|1
14546|1
15156|1
16435|1
17179|1
19745|1
21230|1
43223|1
57037|1
